MESSAGE_TYPE$*$MESSAGE$*$CLASS$*$METHOD
ASSIGN_FIELD_NULLABLE$*$(Covered) assigning @Nullable expression to @NonNull field$*$com.airbnb.lottie.parser.moshi.JsonReader.Options$*$Options(java.lang.String[],okio.Options)
DEREFERENCE_NULLABLE$*$dereferenced expression value is @Nullable$*$com.airbnb.lottie.parser.moshi.JsonReader$*$string(okio.BufferedSink,java.lang.String)
DEREFERENCE_NULLABLE$*$dereferenced expression endPoint is @Nullable$*$com.airbnb.lottie.utils.Utils$*$createPath(android.graphics.PointF,android.graphics.PointF,android.graphics.PointF,android.graphics.PointF)
DEREFERENCE_NULLABLE$*$dereferenced expression endPoint is @Nullable$*$com.airbnb.lottie.utils.Utils$*$createPath(android.graphics.PointF,android.graphics.PointF,android.graphics.PointF,android.graphics.PointF)
PASS_NULLABLE$*$(Covered) passing @Nullable parameter 'rect' where @NonNull is required$*$com.airbnb.lottie.utils.Utils$*$saveLayerCompat(android.graphics.Canvas,android.graphics.RectF,android.graphics.Paint)
ASSIGN_FIELD_NULLABLE$*$(Covered) assigning @Nullable expression to @NonNull field$*$com.airbnb.lottie.LottieTask$*$null
RETURN_NULLABLE$*$(Covered) returning @Nullable expression from method with @NonNull return type$*$com.airbnb.lottie.LottieComposition$*$getPrecomps(java.lang.String)
RETURN_NULLABLE$*$(Covered) returning @Nullable expression from method with @NonNull return type$*$com.airbnb.lottie.LottieComposition$*$getMarker(java.lang.String)
PASS_NULLABLE$*$(Covered) passing @Nullable parameter 'fileName' where @NonNull is required$*$com.airbnb.lottie.LottieComposition.Factory$*$fromAssetFileName(android.content.Context,java.lang.String,com.airbnb.lottie.OnCompositionLoadedListener)
PASS_NULLABLE$*$(Covered) passing @Nullable parameter 'l' where @NonNull is required$*$com.airbnb.lottie.LottieComposition.Factory$*$fromInputStream(java.io.InputStream,com.airbnb.lottie.OnCompositionLoadedListener)
PASS_NULLABLE$*$(Covered) passing @Nullable parameter 'null' where @NonNull is required$*$com.airbnb.lottie.LottieComposition.Factory$*$fromInputStream(java.io.InputStream,com.airbnb.lottie.OnCompositionLoadedListener)
PASS_NULLABLE$*$(Covered) passing @Nullable parameter 'l' where @NonNull is required$*$com.airbnb.lottie.LottieComposition.Factory$*$fromJsonString(java.lang.String,com.airbnb.lottie.OnCompositionLoadedListener)
